covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,30.0,140.0,190.0,-8.29802266093803,-15.522783471433891,-0.9786646497606848,0.026,12.669792079606443,2.832027504782725,21.622400607888626,0.01,4.371769418668414,-2.562603773622386,10.863645915328114,0.208,-1.898092480702128,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.1214912066711308,0.1688126067707944,0.9146134868522068
pca,ALL,lmer,,30.0,145.0,190.0,-8.02729280164646,-14.76630844620003,-1.1452720459172874,0.028,12.321819237468535,3.47056006863852,20.753166867508636,0.006,4.2945264358220765,-2.1862508228396673,10.419219707411246,0.19,-1.8691916143973724,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.1745575989099991,0.2705083009850551,0.7598655717034211
pca,ALL,lmer,,30.0,150.0,190.0,-7.372676107446235,-14.470924991509236,0.0051329392369381,0.052,11.387087659203091,1.880183649740974,21.75990551252401,0.018,4.014411551756857,-2.347898709672959,10.86563150383116,0.212,-1.8365521353234635,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2175127979264116,0.3778555862069553,0.6897408072553292
pca,ALL,lmer,,30.0,155.0,190.0,-8.318053486716348,-15.30327636850538,-0.8105227953850714,0.024,12.627042394744045,3.302188253703336,22.335368908427174,0.006,4.308988908027696,-1.977100245100812,10.408562197602096,0.202,-1.9303956599237744,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2419457960774705,0.5521305901773674,0.4497826005880156
pca,ALL,lmer,,30.0,160.0,190.0,-8.641970986673524,-15.630527828340789,-2.0144107878294153,0.008,13.086321594182492,4.359760479251365,22.172560555840644,0.008,4.444350607508968,-1.8838962817073264,10.75182918973793,0.186,-1.944484526507079,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2566000570510757,0.6386367292085868,0.2807121834460955
pca,ALL,lmer,,30.0,165.0,190.0,-7.644774736461759,-14.55530908001405,-1.294690731831634,0.014,11.80450833728726,3.7590413784169665,20.595014270117844,0.006,4.159733600825502,-2.1351670252546087,10.313255687532244,0.192,-1.8378039244976283,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2391730170824755,0.6894702919457729,0.2268060665352651
pca,ALL,lmer,,30.0,170.0,190.0,-7.601549373523475,-14.486740951937248,-0.9760346599963589,0.03,12.007533433932226,3.1023655960566368,20.586485773463355,0.006,4.405984060408751,-2.2604131013325186,11.145823362910535,0.18,-1.7252784552330551,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2365527836264812,0.7433316150051383,0.1765202979379133
pca,ALL,lmer,,30.0,175.0,190.0,-7.593306145047077,-14.183806109656118,-0.7181009390865369,0.03,12.171105891237657,3.21651127854777,21.54262136147273,0.014,4.57779974619058,-1.9473395629332244,10.912034315870434,0.166,-1.6587239647968115,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2783390173959191,0.8198044948168608,0.0933360027650089
pca,ALL,lmer,,30.0,180.0,190.0,-7.111928082477709,-14.538938954331998,-0.1963699954140108,0.042,11.718833551548665,2.6216965211025354,20.678409475007513,0.016,4.606905469070953,-2.1028729839056477,10.82355386253658,0.152,-1.5437538560807345,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2460448397393362,0.8588393187925099,0.054299981672486
pca,ALL,lmer,,30.0,185.0,190.0,-7.252201568642176,-13.928107286832129,-0.6864381895895495,0.036,11.59211319797891,2.1674485715226703,20.474701118222605,0.024,4.339911629336733,-2.0425040012734548,10.370549313803066,0.186,-1.6710482120463193,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.2474183201796603,0.8707021565351627,0.049166781936482
